latitude,longitude,time
43.4583,1.57168,1265845266.0
43.45828,1.57182,1265845326.0
43.45825,1.57177,1265845386.0
43.45833,1.57181,1265845446.0
43.45839,1.57175,1265845506.0
43.45838,1.57177,1265845566.0
43.45819,1.57143,1265845626.0
43.45813,1.57168,1265845686.0
43.45828,1.5714,1265845746.0
43.4583,1.57144,1265845806.0
43.45848,1.57169,1265845866.0
43.45836,1.57169,1265845926.0
43.4583,1.57165,1265845986.0
43.4583,1.57168,1265846046.0
43.45856,1.57146,1265846106.0
43.45843,1.57169,1265846166.0
43.45836,1.57176,1265846226.0
43.45838,1.57172,1265846286.0
43.4584,1.57189,1265846346.0
43.45853,1.57169,1265846406.0
43.45856,1.57171,1265846466.0
43.45849,1.57161,1265846526.0
43.45842,1.57176,1265846586.0
43.45839,1.57174,1265846646.0
43.45834,1.57169,1265846706.0
43.45832,1.5717,1265846766.0
43.45829,1.57173,1265846826.0
43.45847,1.57182,1265846886.0
43.45831,1.57185,1265846946.0
43.45841,1.5717,1265847006.0
43.45838,1.57173,1265847066.0
43.45838,1.57174,1265847126.0
43.45841,1.57181,1265847186.0
43.45851,1.5718,1265847246.0
43.45849,1.5718,1265847306.0
43.45839,1.57174,1265847366.0
43.45842,1.57171,1265847426.0
43.45848,1.57164,1265847486.0
43.45845,1.57172,1265847546.0
43.45834,1.57174,1265847606.0
43.45848,1.57169,1265847666.0
43.45848,1.57156,1265847726.0
43.45834,1.57178,1265847786.0
43.45834,1.57194,1265847846.0
43.45835,1.57192,1265847906.0
43.45854,1.57185,1265847966.0
43.45859,1.57179,1265848026.0
43.45841,1.57202,1265848086.0
43.45826,1.57166,1265848146.0
43.45827,1.57177,1265848206.0
43.4584,1.57154,1265848266.0
43.4584,1.57162,1265848326.0
43.45838,1.57175,1265848386.0
43.45841,1.57171,1265848446.0
43.45845,1.57166,1265848506.0
43.45833,1.57167,1265848566.0
43.45837,1.57155,1265848626.0
43.45833,1.57163,1265848686.0
43.45842,1.57155,1265848746.0
43.45836,1.57163,1265848806.0
43.45836,1.5717,1265848866.0
43.45849,1.5717,1265848926.0
43.45866,1.5717,1265848986.0
43.45836,1.57178,1265849046.0
43.45837,1.57173,1265849106.0
43.4584,1.57166,1265849006.0
43.4584,1.5717,1265849186.0
43.45839,1.5717,1265849246.0
43.45829,1.57158,1265849306.0
43.45833,1.57172,1265849366.0
43.45846,1.57175,1265849426.0
43.45852,1.57181,1265849486.0
43.45858,1.5718,1265849546.0
43.45854,1.5718,1265849606.0
43.45847,1.57162,1265849666.0
43.45772,1.57204,1265849726.0
43.45826,1.57183,1265849786.0
43.45831,1.57173,1265850007.0
43.45829,1.57166,1265850067.0
43.45844,1.57169,1265850127.0
43.45854,1.5717,1265850187.0
43.45856,1.57173,1265850247.0
43.45836,1.57168,1265850307.0
43.4581,1.57162,1265850367.0
43.45823,1.57169,1265850427.0
43.45823,1.57165,1265850487.0
43.45804,1.57149,1265850547.0
43.458,1.57172,1265850607.0
43.45813,1.57172,1265850667.0
43.45784,1.57181,1265850727.0
43.45829,1.57168,1265850787.0
43.45801,1.57173,1265850847.0
43.45824,1.57176,1265850907.0
43.45847,1.57176,1265850967.0
43.45843,1.57166,1265851027.0
43.45839,1.57161,1265851087.0
43.4585,1.57155,1265851147.0
43.45862,1.57155,1265851207.0
43.45854,1.57156,1265851267.0
43.45845,1.57166,1265851327.0
43.45843,1.57162,1265851387.0
43.45826,1.57168,1265851447.0
43.45836,1.57167,1265851507.0
43.4584,1.57194,1265851567.0
43.45839,1.57166,1265851627.0
43.45819,1.57142,1265851687.0
43.45823,1.57154,1265851747.0
43.45829,1.57161,1265851807.0
43.45834,1.57165,1265851867.0
43.45832,1.57173,1265851927.0
43.45834,1.57171,1265851987.0
43.45835,1.5717,1265852047.0
43.45835,1.5717,1265852107.0
43.4583,1.57167,1265852167.0
43.45864,1.57135,1265852227.0
43.45824,1.57164,1265852287.0
43.45823,1.5716,1265852347.0
43.45832,1.57163,1265852407.0
43.45833,1.57174,1265852467.0
43.4588,1.57177,1265852527.0
43.45877,1.57181,1265852587.0
43.45881,1.57159,1265852647.0
43.45877,1.57183,1265852707.0
43.45881,1.57174,1265852767.0
43.45867,1.57171,1265852827.0
43.45854,1.57173,1265852887.0
43.45831,1.57093,1265852947.0
43.45827,1.57118,1265853067.0
43.45843,1.57163,1265853127.0
43.45871,1.57161,1265853187.0
43.45849,1.57176,1265853247.0
43.45839,1.57167,1265853307.0
43.45841,1.5718,1265853367.0
43.45847,1.57193,1265853427.0
43.4584,1.57187,1265853487.0
43.45829,1.57165,1265853547.0
43.45837,1.5717,1265853607.0
43.45839,1.57161,1265853667.0
43.45848,1.57187,1265853727.0
43.45841,1.57162,1265853787.0
43.45836,1.57169,1265853847.0
43.45836,1.57173,1265853907.0
43.45843,1.57176,1265853967.0
43.45841,1.57186,1265854027.0
43.45843,1.57169,1265854087.0
43.45838,1.5718,1265854147.0
43.45842,1.57177,1265854207.0
43.45847,1.57179,1265854267.0
43.45862,1.57182,1265854327.0
43.45844,1.57168,1265854387.0
43.45849,1.57167,1265854447.0
43.45845,1.57175,1265854507.0
43.45843,1.57166,1265854567.0
43.45842,1.5718,1265854627.0
43.45841,1.57185,1265854687.0
43.45844,1.57167,1265854747.0
43.45839,1.57165,1265854807.0
43.45845,1.57164,1265854867.0
43.45837,1.57172,1265854927.0
43.45839,1.57169,1265854987.0
43.45843,1.57173,1265855047.0
43.4584,1.5719,1265855107.0
43.45839,1.57176,1265855167.0
43.4584,1.57178,1265855227.0
43.45843,1.57183,1265855287.0
43.45845,1.57187,1265855347.0
43.45844,1.57177,1265855407.0
43.45847,1.5718,1265855467.0
43.45843,1.57176,1265855527.0
43.45841,1.57181,1265855587.0
43.45841,1.57182,1265855647.0
43.45844,1.57182,1265855707.0
43.45842,1.57158,1265855767.0
43.45845,1.5715,1265855827.0
43.4584,1.5717,1265855887.0
43.4585,1.57175,1265855947.0
43.45839,1.57173,1265856007.0
43.45837,1.57165,1265856067.0
43.45833,1.57158,1265856127.0
43.45846,1.57177,1265856187.0
43.45836,1.57169,1265856247.0
43.45835,1.5721,1265856307.0
43.45845,1.57196,1265856367.0
43.45848,1.57177,1265856427.0
43.45849,1.57179,1265856487.0
43.45839,1.57188,1265856547.0
43.4583,1.57171,1265856607.0
43.4584,1.57165,1265856667.0
43.45835,1.57171,1265856727.0
43.45842,1.57154,1265856787.0
43.45842,1.57154,1265911301.0
43.48376,1.5452,1265911430.0
43.48376,1.5452,1265911543.0
43.45822,1.57232,1265915502.0
43.45872,1.57224,1265915563.0
43.45848,1.57197,1265915623.0
43.45843,1.57146,1265915803.0
48.84517,2.34534,1266439978.0
43.46159,1.56636,1266444186.0
43.76481,1.38063,1266716643.0
43.76481,1.38063,1266716643.0
43.75957,1.38518,1266716703.0
43.74074,1.39127,1266716763.0
43.72157,1.39972,1266716824.0
43.70263,1.40631,1266716884.0
43.68377,1.41305,1266716944.0
43.66511,1.42236,1266717004.0
43.65666,1.42681,1266717064.0
43.6487,1.43574,1266717124.0
43.64699,1.45685,1266717185.0
43.64561,1.45032,1266717244.0
48.8702,2.27246,1268239445.0
48.86945,2.27571,1268239520.0
48.86992,2.27393,1268239566.0
48.86998,2.27407,1268239626.0
48.86997,2.27397,1268292091.0
48.86997,2.27397,1268292097.0
48.88598,2.31279,1268293021.0
48.8851,2.31197,1268293133.0
48.8867,2.31369,1268293250.0
48.88631,2.31268,1268293310.0
48.88557,2.31198,1268293369.0
48.88631,2.31268,1268315741.0
48.8864,2.31286,1268343300.0
48.88633,2.31259,1268343351.0
48.88644,2.31263,1268343410.0
48.88623,2.31308,1268343470.0
48.88625,2.31314,1268343529.0
48.88632,2.31312,1268343588.0
48.88602,2.31346,1268343647.0
48.88643,2.31329,1268343707.0
48.88636,2.31334,1268343766.0
48.88631,2.31282,1268343831.0
48.88637,2.31308,1268343891.0
48.88646,2.31312,1268343951.0
48.88624,2.31329,1268344010.0
48.88642,2.31288,1268344070.0
48.88631,2.31292,1268344129.0
48.88641,2.31286,1268344189.0
48.8862,2.31297,1268344248.0
48.88629,2.31324,1268344308.0
48.88636,2.31315,1268344366.0
48.8864,2.3131,1268384391.0
48.83209,2.31409,1269956509.0
48.84578,2.26708,1269957663.0
48.8425,2.32134,1269978717.0
48.84108,2.32067,1269978887.0
48.84132,2.32127,1269978947.0
48.84027,2.32165,1269979006.0
48.83926,2.32105,1269979066.0
48.83833,2.32059,1269979126.0
48.83749,2.31975,1269979186.0
48.83753,2.31883,1269979246.0
48.83614,2.31891,1269979306.0
48.83539,2.31791,1269979366.0
48.83546,2.31713,1269979426.0
48.83475,2.31744,1269979495.0
48.8338,2.31776,1269979555.0
48.8335,2.31678,1269979615.0
48.83319,2.31586,1269979675.0
